"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 01 16:26:59 IST 2024","Thu Aug 01 16:27:04 IST 2024","4981","","Test Login Functionality: Check login with Invalid Credentials","","","","And user enters invalid 1@2.com & f-o-o",""
"passed","Thu Aug 01 16:27:35 IST 2024","Thu Aug 01 16:27:37 IST 2024","2725","","Test Login Functionality: Check login with Valid Credentials","","","","Given user is on HomePage",""
"passed","Thu Aug 01 16:27:22 IST 2024","Thu Aug 01 16:27:25 IST 2024","3086","","Test Login Functionality: Check login with Invalid Credentials","","","","Given user is on HomePage",""
"passed","Thu Aug 01 16:26:44 IST 2024","Thu Aug 01 16:26:49 IST 2024","4335","","Test Login Functionality: Check login with Invalid Credentials","","","","And user enters invalid alice@example.com & 10203040",""
"passed","Thu Aug 01 16:27:14 IST 2024","Thu Aug 01 16:27:18 IST 2024","4531","","Test Login Functionality: Check login with Invalid Credentials","","","","And user enters invalid  &",""
"passed","Thu Aug 01 16:27:48 IST 2024","Thu Aug 01 16:27:49 IST 2024","232","","Test Login Functionality: Check login with Valid Credentials","","","","And text Products is displayed",""
"passed","Thu Aug 01 16:27:48 IST 2024","Thu Aug 01 16:27:48 IST 2024","980","","Test Login Functionality: Check login with Valid Credentials","","","","Then user is navigated to app",""
"passed","Thu Aug 01 16:27:28 IST 2024","Thu Aug 01 16:27:32 IST 2024","3878","","Test Login Functionality: Check login with Invalid Credentials","","","","And user enters invalid bob@example.com &",""
"passed","Thu Aug 01 16:27:37 IST 2024","Thu Aug 01 16:27:38 IST 2024","1136","","Test Login Functionality: Check login with Valid Credentials","","","","When user clicks on hamburger icon",""
"passed","Thu Aug 01 16:27:40 IST 2024","Thu Aug 01 16:27:44 IST 2024","4092","","Test Login Functionality: Check login with Valid Credentials","","","","And user enters valid bob@example.com & 10203040",""
"passed","Thu Aug 01 16:27:25 IST 2024","Thu Aug 01 16:27:28 IST 2024","2326","","Test Login Functionality: Check login with Invalid Credentials","","","","And user clicks on login text",""
"failed","Thu Aug 01 16:27:49 IST 2024","Thu Aug 01 16:27:49 IST 2024","2","","","","","","hook:",""
"passed","Thu Aug 01 16:27:38 IST 2024","Thu Aug 01 16:27:40 IST 2024","1895","","Test Login Functionality: Check login with Valid Credentials","","","","And user clicks on login text",""
"passed","Thu Aug 01 16:27:44 IST 2024","Thu Aug 01 16:27:48 IST 2024","3141","","Test Login Functionality: Check login with Valid Credentials","","","","And clicks on login button",""
"passed","Thu Aug 01 16:27:32 IST 2024","Thu Aug 01 16:27:35 IST 2024","2884","","Test Login Functionality: Check login with Invalid Credentials","","","","Then clicks on login button",""
"passed","Thu Aug 01 16:27:25 IST 2024","Thu Aug 01 16:27:25 IST 2024","804","","Test Login Functionality: Check login with Invalid Credentials","","","","When user clicks on hamburger icon",""
"failed","Thu Aug 01 16:27:35 IST 2024","Thu Aug 01 16:27:35 IST 2024","1","","","","","","hook:",""
